,Unnamed: 0,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil?",Unnamed: 0,", q44_depleted, q44_environmental pollution, q44_depleted.1,q44_environmental pollution.1"
1072,1072,It causes environmental pollution,1072.0,"1108,0,1,,1109,0,1,,"
1073,1073,I don't know.,1073.0,"1110,0,1,,"
1074,1074,?,1074.0,"1111,1,0,,"
1075,1075,exhaustion,1075.0,"1112,0,1,,"
1076,1076,"Later, when the energy is used up, difficulties arise, global warming occurs, and it gets hot",1076.0,"1113,1,1,,"
1077,1077,I don't know.,1077.0,"1114,1,1,,"
1078,1078,It's disappearing,1078.0,"1115,0,1,,"
1079,1079,The global environment is destroyed.,1079.0,"1116,1,0,,"
1080,1080,resource depletion and environmental pollution,1080.0,"1117,0,0,,"
1081,1081,"One day, resources will run out and global warming will become serious",1081.0,"1118,0,0,,"
1082,1082,The shortage of coal oil causes conflicts between countries.,1082.0,"1119,0,0,,"
1083,1083,There will be a lot of bad air on Earth,1083.0,"1120,0,0,,"
1084,1084,Global warming will accelerate further.,1084.0,"1121,0,1,,"
1085,1085,"""It's exhausting",1085.0,"1122,0,1,,"
1086,1086,"""",1086.0,"1123,0,0,,"
1087,1087,Environmental pollution becomes serious and depleted.,1087.0,"1124,0,1,,"
1088,1088,I can't use the machine because I'm running out of electric energyThe Earth Is Contaminated,1088.0,"1125,0,1,,"
1089,1089,Global warming intensifies,1089.0,"1126,0,1,,"
1090,1090,The global greenhouse effect will be even greater.,1090.0,"1127,0,0,,"
1091,1091,One day it will run out and the environmental pollution will get worse,1091.0,"1128,0,0,,"
1092,1092,"Fossil energy will be depleted and fossil energy will no longer be used, and global warming will worsen due to increased carbon dioxide levels.",1092.0,"1129,0,1,,"
1093,1093,"The composition ratio of carbon dioxide in the Earth's atmosphere increases, increasing the heat energy absorbed per unit volume of gas. It is released back to Earth, increasing the average temperature of the Earth, which leads to global warming.",1093.0,"1130,0,0,,"
1094,1094,Accelerating global warming causes environmental problems such as rising sea levels,1094.0,"1131,0,0,,"
1095,1095,I don't know.,1095.0,"1132,1,0,,"
1096,1096,I don't know.,1096.0,"1133,0,1,,"
1097,1097,The air will be polluted,1097.0,"1134,1,1,,"
1098,1098,run out of energy,1098.0,"1135,0,1,,"
1099,1099,I'm going to screw it up,1099.0,"1136,1,1,,"
1100,1100,The earth hurts,1100.0,"1137,0,0,,"
1101,1101,You don't have energy to use in the future,1101.0,"1138,0,0,,1139,0,1,,"
1102,1102,You don't have energy to use in the future,1102.0,"1140,1,0,,"
1103,1103,We need to use alternative energy,1103.0,"1141,0,1,,"
1104,1104,There is no more energy available and society will stagnate,1104.0,"1142,0,0,,"
1105,1105,soon to be exhausted,1105.0,"1143,1,0,,"
1106,1106,Earth dies fast,1106.0,"1144,1,1,,"
1107,1107,Global destruction due to global warming,1107.0,"1145,0,1,,"
1108,1108,"Eventually, it is depleted and no longer usable.",1108.0,"1146,0,1,,"
1109,1109,I'm running out,1109.0,"1147,0,0,,"
1110,1110,environmental destruction,1110.0,"1148,1,0,,"
1111,1111,무Oh my god,1111.0,"1149,0,1,,"
1112,1112,"There are a lot of machines that use coal and oil now, but I don't think I can use them in the future",1112.0,"1150,1,0,,"
1113,1113,"It is depleted, and environmental pollution occurs.",1113.0,"1151,1,0,,"
1114,1114,"There is a lot of carbon dioxide in the atmosphere. Sinkholes are formed in land that has been dug out of oil and coal. When crude oil is spilled into the sea, water pollution occurs. Environmental pollution accelerates.",1114.0,"1152,0,0,,"
1115,1115,The air is deteriorating and resources are depleted.,1115.0,"1153,0,1,,"
1116,1116,"Carbon dioxide increases, global warming accelerates, air pollution, energy depletion",1116.0,"1154,0,1,,"
1117,1117,Global warming is running out,1117.0,"1155,0,1,,"
1118,1118,"Environmental pollution, resource depletion, human extinction",1118.0,"1156,1,0,,"
1119,1119,The exhaustion of fossil energy means lack of energy and environmental problems such as air pollution,1119.0,"1157,1,1,,"
1120,1120,A lowland war breaks out. Environmental pollution is getting worse.,1120.0,"1158,1,1,,"
1121,1121,Environmental pollution on Earth becomes serious. Air pollution is the biggest problem,1121.0,"1159,1,0,,"
1122,1122,"Accelerate environmental pollution such as air pollution, water pollution, and global warming",1122.0,"1160,0,0,,"
1123,1123,"Destruction of the Ozone Layer, Global Warming",1123.0,"1161,0,0,,"
1124,1124,"Carbon dioxide increase, temperate effect, and resource shortage phenomenon",1124.0,"1162,1,0,,"
1125,1125,It is depleted and not available where necessary.,1125.0,"1163,0,1,,"
1126,1126,"The greenhouse effect from the carbon dioxide emitted increases, accelerating global warming.",1126.0,"1164,0,1,,"
1127,1127,Increased concentration of carbon dioxide in the air. Fossil energy is depleted.,1127.0,"1165,1,0,,"
1128,1128,"Environmental pollution, resource depletion",1128.0,"1166,0,0,,"
1129,1129,"The cost and energy of mining fossil energy sources are wasted, and environmental pollution becomes serious.",1129.0,"1167,1,0,,"
1130,1130,"Later, there will be a shortage of resources for our descendants to use.",1130.0,"1168,1,0,,1169,1,0,,"
1131,1131,It causes environmental pollution.,1131.0,"1170,1,0,,"
1132,1132,The sea level rises and the earth heats up.,1132.0,"1171,1,0,,"
1133,1133,I'm going to screw up,1133.0,"1172,1,1,,"
1134,1134,The earth explodes,1134.0,"1173,1,0,,"
1135,1135,Global warming intensifies,1135.0,"1174,0,1,,"
1136,1136,global pollution,1136.0,"1175,0,1,,"
1137,1137,Everyone is starving to death,1137.0,"1176,0,1,,"
1138,1138,It will promote global warming,1138.0,"1177,0,1,,"
1139,1139,I don't think it'll be good for the environment.,1139.0,"1178,0,1,,"
1140,1140,Environmental pollution is intensifying,1140.0,"1179,1,0,,"
1141,1141,The future develops,1141.0,"1180,1,0,,"
1142,1142,L.,1142.0,"1181,1,1,,"
1143,1143,Global warming occurs due to environmental pollution and ends later,1143.0,"1182,1,0,,"
1144,1144,Climate change occurs due to the destruction of the ozone layer.,1144.0,"1183,0,0,,"
1145,1145,There will be many natural disasters due to global warming.,1145.0,"1184,0,1,,"
1146,1146,Fossil energy will be depleted and inconvenient to live.,1146.0,"1185,0,0,,"
1147,1147,Global warming can intensify and ultraviolet rays can be destroyed.,1147.0,"1186,0,0,,"
1148,1148,It becomes depleted and unusable and environmental pollution becomes more serious,1148.0,"1187,0,1,,"
1149,1149,"The earth will have more global warming with fumes or carbon dioxide, making it harder for us to live",1149.0,"1188,1,0,,"
1150,1150,"""1. If you use a lot of fossil energy, you will lose fossil fuels for future use.",1150.0,"1189,0,1,,"
1151,1151,"2. Global warming intensifies.""",1151.0,"1190,0,1,,"
1152,1152,I don't know,1152.0,"1191,0,1,,"
1153,1153,Destruction of the Earth,1153.0,"1192,1,1,,"
1154,1154,Global warming intensifies and resources are damaged,1154.0,"1193,1,0,,"
1155,1155,"Eventually, the fossil will disappear",1155.0,"1194,0,1,,"
1156,1156,Global warming will become more serious and the earth will not be able to live,1156.0,"1195,0,1,,"
1157,1157,Fossils form a lot,1157.0,"1196,0,1,,"
1158,1158,It may not be available in the future,1158.0,"1197,1,1,,"
1159,1159,Fossil energy will run out.,1159.0,"1198,1,0,,1199,0,0,,"
1160,1160,"Environmental pollution will intensify.""",1160.0,"1200,0,0,,"
1161,1161,Global warming,1161.0,"1201,1,0,,"
1162,1162,Global warming occurs,1162.0,"1202,1,1,,"
1163,1163,"""We need a lot of fossil fuels like cars",1163.0,"1203,1,1,,"
1164,1164,"""Transportation develops""",1164.0,"1204,1,0,,"
1165,1165,"Fossil energy such as coal and oil will be depleted in the future. If that happens, it will be difficult to survive because we have to survive without energy until we study another energy again.",1165.0,"1205,1,0,,"
1166,1166,Environmental pollution becomes serious,1166.0,"1206,1,0,,"
1167,1167,"Fossil energy such as coal and oil is limited, so someday it will become scarce and unusable.",1167.0,"1207,1,0,,"
1168,1168,resources run out,1168.0,"1208,0,1,,"
1169,1169,Energy conservation,1169.0,"1209,1,1,,"
1170,1170,Environmental pollution becomes serious and adversely affects the global environment,1170.0,"1210,0,1,,"
1171,1171,Global warming will intensify,1171.0,"1211,1,1,,"
1172,1172,Global warming will intensify,1172.0,"1212,0,1,,"
1173,1173,Resources run out.,1173.0,"1213,1,0,,"
1174,1174,"High use of coal and oil will produce harmful ingredients to burn it, and since it is a limited resource, it will not be able to use coal and oil in the future and will have a bad environmental impact.",1174.0,"1214,1,0,,"
1175,1175,"It is likely to have a bad effect on the environment. Above all, energy will be replaced in the future because energy resources are limited above.",1175.0,"1215,0,0,,"
1176,1176,"In the future, energy will be depleted, and fossil energy will not be available to use.",1176.0,"1216,0,0,,"
1177,1177,The ozone layer has been destroyed,1177.0,"1217,0,1,,"
1178,1178,"They won't even turn on the lights, let alone the electronics",1178.0,"1218,0,1,,"
1179,1179,It will be hard because oil and coal are gone.,1179.0,"1219,0,1,,"
1180,1180,It's global warming,1180.0,"1220,1,0,,"
1181,1181,The ozone layer is filled with carbon dioxide,1181.0,"1221,0,1,,"
1182,1182,"In the future, all things using fossil energy may become unavailable.",1182.0,"1222,0,1,,"
1183,1183,I don't think I can use electricity because coal is used up and coal is limited,1183.0,"1223,0,1,,"
1184,1184,"""Combustion or oil",1184.0,"1224,0,1,,"
1185,1185,"Without it, electricity cannot be used.""",1185.0,"1225,1,1,,"
1186,1186,"Uh, no gasoline or oil",1186.0,"1226,0,1,,"
1187,1187,"We run out of coal and oil, and we run out of resourcesCoal or oil is a resource, so one day it's going to disappear. If people don't use new ideas to turn things that need coal or oil into things that don't need coal or oil, we won't be able to live anymore because we don't have resources",1187.0,"1227,0,1,,"
1188,1188,"""There will be no oil for later use.",1188.0,"1228,0,0,,1229,0,1,,"
1189,1189,"Later, you can't put oil on a car, airplane, or ship.""",1189.0,"1230,1,1,,"
1190,1190,"""If you use a lot of fossil energy like coal or oil, it disappears and comes from that fossil energy",1190.0,"1231,0,1,,"
1191,1191,"The environment is polluted because of smoke and such """,1191.0,"1232,1,0,,"
1192,1192,Resource depleted,1192.0,"1233,0,1,,"
1193,1193,"In the case of fossil energy, the fumes from burning make global warming worse, causing even greater damage.",1193.0,"1234,0,1,,"
1194,1194,It's going to be global warming,1194.0,"1235,0,0,,"
1195,1195,The environment will be polluted.,1195.0,"1236,0,1,,"
1196,1196,Global warming destroys the world.,1196.0,"1237,1,0,,"
1197,1197,"""Because of increased air temperatures or air pollution,",1197.0,"1238,0,1,,"
1198,1198,"Air changes occur, which can pose a threat to people's lives.""",1198.0,"1239,0,0,,"
1199,1199,"Eventually, coal and oil will run out, and we will not be able to use the resources we need in the future.",1199.0,"1240,1,0,,"
1200,1200,Fossil energy could be depleted in the future,1200.0,"1241,1,0,,"
1201,1201,"I can't get on an oil-powered vehicle.""",1201.0,"1242,1,0,,"
1202,1202,"The environment is polluted and resources are depleted, and the future is not developing",1202.0,"1243,0,0,,"
1203,1203,"Although fossil energy cannot be used later, there will be a lack of energy because there is not much renewable energy such as wind power generators or solar power generators",1203.0,"1244,1,0,,"
1204,1204,saving fossil energy,1204.0,"1245,1,0,,"
1205,1205,"Global warming is accelerated by the emission of carbon dioxide, which is a greenhouse gas",1205.0,"1246,1,0,,"
1206,1206,The electricity will be cut off,1206.0,"1247,0,1,,"
1207,1207,The earth will burst,1207.0,"1248,1,0,,"
1208,1208,Global warming causes great damage to the Earth.,1208.0,"1249,1,0,,"
1209,1209,"In the future, there are no resources, so I think our economic development will develop slowly It will be difficult for future generations to live",1209.0,"1250,1,0,,"
1210,1210,Global warming is likely to intensify.,1210.0,"1251,0,1,,"
1211,1211,Global warming worsens,1211.0,"1252,1,0,,"
1212,1212,The future environment will be polluted,1212.0,"1253,0,1,,"
1213,1213,"There will be many environmental problems due to pollution of the environment, and the reserves of coal and oil are limited, so there will be no energy available when coal and oil are exhausted, which will cause great damage.",1213.0,"1254,1,1,,"
1214,1214,Both coal and oil will run out.,1214.0,"1255,0,0,,"
1215,1215,"A lot of carbon dioxide, a greenhouse gas, is emitted and global warming is accelerated.",1215.0,"1256,0,1,,"
1216,1216,The environment is likely to be polluted and adversely affect future generations.,1216.0,"1257,0,0,,"
1217,1217,Environments such as air pollution are destroyed,1217.0,"1258,1,0,,1259,1,0,,"
1218,1218,"There is a fixed amount, so if you keep using it, it will one day disappear, and it will be the main culprit of polluting the environment by generating greenhouse gases",1218.0,"1260,0,1,,"
1219,1219,"If fossil energy continues to be used, it will eventually disappear, and electricity using fossil energy will not be available.",1219.0,"1261,0,0,,"
1220,1220,It is likely that vehicles that use LPG will gradually replace it after refining oil from coal and using it for transportation fuel.,1220.0,"1262,0,0,,"
1221,1221,Continued use of coal or oil destroys the animal's habitat.,1221.0,"1263,0,1,,"
1222,1222,"Due to limited reserves, resources are depleted and it takes a very long time to be renewable, which can have a big impact on future offspring.",1222.0,"1264,0,0,,"
1223,1223,"If you use a lot of fossil energy, it will be environmental pollution, and if you keep using it, it will decrease gradually, so people will not use a lot of fossil energy.",1223.0,"1265,0,1,,"
1224,1224,"Fossil energy, such as coal and oil, can disappear forever and generate greenhouse gases, polluting the environment.",1224.0,"1266,1,0,,"
1225,1225,"""1.There could be no coal or oil in the future.",1225.0,"1267,1,0,,"
1226,1226,"2. I think it will be more advanced.""",1226.0,"1268,0,0,,"
1227,1227,"After all, oil and coal have run out, and things that need oil and coal cannot work.",1227.0,"1269,0,1,,"
1228,1228,"In the future, descendants cannot use oil or coal.""",1228.0,"1270,0,1,,"
1229,1229,"As coal and oil resources become increasingly scarce and difficult to obtain, fossil energy will be unavailable in the future",1229.0,"1271,0,1,,"
1230,1230,Coal and oil have run out of resources and are inconvenienced later,1230.0,"1272,0,1,,"
1231,1231,Global warming occurs,1231.0,"1273,1,0,,"
1232,1232,"If you use a lot of ""fossil energy"" such as coal or oil, you will run out of coal or oil in the future, and future generations will not be able to use it, and environmental pollution problems will be serious.",1232.0,"1274,0,0,,"
1233,1233,Global warming is likely to cause global temperature to rise,1233.0,"1275,1,0,,"
1234,1234,"Environmental pollution will be more severe than now, and fossil energy will be depleted, causing great confusion",1234.0,"1276,0,1,,"
1235,1235,Global warming is getting worse,1235.0,"1277,1,0,,"
1236,1236,Fossil energy is depleted and is not available to future generations,1236.0,"1278,1,0,,"
1237,1237,Resource depletion will occur and mountains will be lost.,1237.0,"1279,0,1,,"
1238,1238,..,1238.0,"1280,0,1,,"
1239,1239,I'm going to screw up,1239.0,"1281,0,1,,"
1240,1240,Global warming occurs,1240.0,"1282,1,0,,"
1241,1241,environmental pollution,1241.0,"1283,1,0,,"
1242,1242,Global warming causes the average temperature of the earth to rise,1242.0,"1284,0,0,,"
1243,1243,run out of energy,1243.0,"1285,0,0,,"
1244,1244,the seriousness of global warming,1244.0,"1286,0,1,,"
1245,1245,Environmental pollution is getting worse and global warming is getting worse.,1245.0,"1287,0,0,,"
1246,1246,environmental pollution,1246.0,"1288,0,1,,1289,1,1,,"
1247,1247,worsening global warming,1247.0,"1290,0,0,,"
1248,1248,The air will deteriorate and there will be no fuel for later use,1248.0,"1291,0,1,,"
1249,1249,Global warming gets worse.,1249.0,"1292,0,1,,"
1250,1250,The environmental pollution will make it difficult for humans to live,1250.0,"1293,1,1,,"
1251,1251,The earth hurts,1251.0,"1294,1,1,,"
1252,1252,Global warming,1252.0,"1295,0,1,,"
1253,1253,Fossil energy will disappear and the environment will be ruined in the future,1253.0,"1296,0,0,,"
1254,1254,"Due to the generation of greenhouse gases such as carbon dioxide, global warming intensifies and environmental pollution intensifies. There are concerns about rising temperatures and sea levels.",1254.0,"1297,1,0,,"
1255,1255,run out of resources,1255.0,"1298,0,1,,"
1256,1256,The earth is destroyed,1256.0,"1299,0,1,,"
1257,1257,"Once the Earth's environment will be destroyed, fossil energy will run out, and all human civilization will be destroyed or stopped.",1257.0,"1300,0,1,,"
1258,1258,Write a lot and see the results.,1258.0,"1301,0,1,,"
1259,1259,environmental destruction,1259.0,"1302,0,1,,"
1260,1260,We run out of resources and run out of energy,1260.0,"1303,0,1,,"
1261,1261,Our country is likely to be polluted.,1261.0,"1304,1,1,,"
1262,1262,to help develop,1262.0,"1305,0,1,,"
1263,1263,Because I can't use it when I need it later.,1263.0,"1306,0,1,,"
1264,1264,"Nature disappears, coal or oil disappears",1264.0,"1307,1,0,,"
1265,1265,Coal or oil is gone and our social life becomes uncomfortable,1265.0,"1308,0,0,,"
1266,1266,I don't know,1266.0,"1309,0,0,,"
1267,1267,be ruined in the future,1267.0,"1310,0,0,,"
1268,1268,We're running out of coal or oil,1268.0,"1311,0,1,,"
1269,1269,"Oil and coal are gradually disappearing, and I think there will be more inconvenience when I live.",1269.0,"1312,0,1,,"
1270,1270,Global warming will become more and more serious and the world will perish.,1270.0,"1313,0,0,,"
1271,1271,"If the limited fossil energy is at its bottom, it will likely face many difficulties in the future",1271.0,"1314,1,0,,"
1272,1272,"There is no coal or oil in the future, so I will buy it wrong",1272.0,"1315,0,1,,"
1273,1273,Fossil energy is likely to disappear,1273.0,"1316,1,0,,"
1274,1274,"If you keep using oil, the air can get worse, and all kinds of natural disasters can happen.",1274.0,"1317,0,1,,"
1275,1275,be bound to be depleted in the future,1275.0,"1318,1,1,,1319,1,1,,"
1276,1276,Global warming gets worse. Carbon dioxide emissions are severe.,1276.0,"1320,0,0,,"
1277,1277,"""We can't use fossil energy anymore because we don't have enough resources like coal or oil",1277.0,"1321,1,0,,"
1278,1278,"Environmental pollution will get worse """,1278.0,"1322,1,1,,"
1279,1279,It'll get better,1279.0,"1323,1,0,,"
1280,1280,The air will get bad in the future and it will be hard for people and plants and animals to live.,1280.0,"1324,1,1,,"
1281,1281,I don't know,1281.0,"1325,0,1,,"
1282,1282,Fossil energy for the future is revived,1282.0,"1326,0,0,,"
1283,1283,"If you use a lot of fossil energy, you will lose a lot of coal and oil in the future.",1283.0,"1327,0,0,,"
1284,1284,Our country will be polluted.,1284.0,"1328,1,0,,"
1285,1285,"If we use a lot of fossil energy, the future will be bad.",1285.0,"1329,0,1,,"
1286,1286,I don't knowThe air becomes polluted.,1286.0,"1330,1,0,,"
1287,1287,become rich in resources,1287.0,"1331,,,,"
1288,1288,The environment is polluted,1288.0,"1332,,,,"
1289,1289,"If that energy is lost, the energy is lost.",1289.0,"1333,38.5%,47.9%,,"
1290,1290,It is likely that resources will disappear because it is depleted a lot,,
1291,1291,The country is doomed,,
1292,1292,The earth becomes yellow and the environment becomes bad.,,
1293,1293,The earth will eventually get hot and warm,,
1294,1294,The environment is polluted.,,
1295,1295,This is because the environment is polluted.,,
1296,1296,"One day, the country will collapse due to lack of resources due to running out of resources.",,
1297,1297,the ruin of the country,,
1298,1298,It seems that the world will be darkened because natural resources are exhausted.,,
1299,1299,The environment is polluted.,,
1300,1300,"Because fossil energy such as coal and oil is limited, there is no more when used up, so I think I will buy it expensive in other countries",,
1301,1301,I'm afraid I'll run out of resources,,
1302,1302,"""If we use a lot of fossil energy, the air will be bad and our lives will be difficult",,
1303,1303,"""",,
1304,1304,environmental pollution,,
1305,1305,Environmental pollution is not very good,,
1306,1306,"If we use a lot of fossil energy, we will lose a lot of coal and oil",,
1307,1307,"Using fossil energy, such as coal and oil, reduces fossil energy in the future. If you continue to use it, you will not be able to use fossil energy.",,
1308,1308,It's gonna turn out great,,
1309,1309,to be able to make a world,,
1310,1310,Environmental problems are serious,,
1311,1311,You're dying fast,,
1312,1312,Global Warming Happens!,,
1313,1313,Global warming will intensify and fossil fuels will be scarce.,,
1314,1314,The earth will heat up and perish,,
1315,1315,Environmental pollution becomes more severe,,
1316,1316,The environment is polluted and the earth is destroyed,,
1317,1317,"depletion of resources, global warming",,
1318,1318,There is a lot of environmental pollution and a lack of resources that is likely to cause chaos throughout the world.,,
1319,1319,Global warming is promoted,,
1320,1320,Earth Explosion фмм 폭발,,
1321,1321,"Later, you run out of energy",,
1322,1322,Global warming caused by increased carbon dioxide,,
1323,1323,"Global warming intensifies, leading to extinction of various creatures, and problems in the food chain, causing problems in human life.",,
1324,1324,"Global warming has intensified, causing various creatures to become extinct, food chain problems, and human life problems",,
1325,1325,Global warming will intensify and glaciers will melt and increase sea levels,,
1326,1326,Global warming will threaten the natural ecosystem and human-living environment.,,
1327,1327,More carbon dioxide makes global warming worse.,,
1328,1328,Global warming intensifies and fossil energy is depleted and is no longer available,,
1329,1329,"It is thought that if fossil energy is used continuously, environmental pollution will worsen, while the need for technology to capture carbon dioxide in the atmosphere will increase, and CO2 capture technology will develop.",,
1330,1330,"Greenhouse gases will increase in the atmosphere and deepen the problem of global warming, causing climate change, which will destroy the ecosystem.",,
1331,1331,There will be a shortage of energy resources in the future,,
1332,1332,Glaciers are melting.,,
1333,1333,I'll find another energy,,
1334,1334,It looks like it's going to get pretty bad.,,
1335,1335,Global warming,,
1336,1336,Global Warming Accelerates,,
1337,1337,The earth explodes.,,
1338,1338,The resources are depleted and there is nothing more to use,,
1339,1339,Global warming,,
1340,1340,There is no energy to use in the future.,,
1341,1341,"The atmosphere will be filled with carbon dioxide, etc., and global warming will worsen",,
1342,1342,Fossil energy is depleted and global warming is speeding up without being used when necessary,,
1343,1343,"When global warming accelerates, and fossil fuels run out, there's a lot of chaos around the world.",,
1344,1344,I don't know.,,
1345,1345,"The disadvantage of fossil energy is that it is not sustainable. Therefore, energy use can be restricted.",,
1346,1346,"In the future, resources such as coal and oil will be depleted, and environmental pollution will be severe.",,
1347,1347,One day it will run out.,,
1348,1348,"It leads to environmental pollution, fossil energy is depleted, making future use impossible",,
1349,1349,Global warming will intensify.,,
1350,1350,I really don't know,,
1351,1351,The temperature of the earth is rising,,
1352,1352,No coal or oil.,,
1353,1353,Global warming becomes more serious as carbon dioxide increases.,,
1354,1354,"The energy available in the future is reduced, adversely affecting future generations.",,
1355,1355,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
