,Unnamed: 0,2) Why did the fire go out after spraying water on the lit iron?,Unnamed: 0,", ""20. If the kidney (kidney) has abnormal function, various diseases may occur, and in serious cases, death may occur. What does the kidney do in our body, so if something goes wrong, will the disease appear? Let's use our knowledge of kidney function to explain it in detail. "",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
162,162,Because water can turn off the fire,162.0,"163 Yes, the kidneys are important, 0, 0, 0, 0, 0, 0... to filter out the waste carried through the blood and keep the blood clean"
163,163,My temperature has cooled down,163.0,"164, the kidneys are important, 0,0,0,0,0... it filters out the waste that is transported through the blood and keeps the blood clean"
164,164,"If you pour water on the fire, it will turn off",164.0,"165, I don't know, 0, 0, 0, 0, 0, 0... filter out the waste carried through the blood and keep the blood clean"
165,165,It removes the heat...,165.0,"166 It has the function of removing poison.,0,0,1,0 ,,,, filter out the waste carried through the blood to keep the blood clean,"
166,166,The temperature of the water overcomes the temperature of the fire,166.0,"167 ""Because the kidneys filter waste from the blood circulation, the blood that has passed through the kidneys clears, so if the kidneys are abnormal, the health becomes poor."
167,167,Because the carbon dioxide loss blocked oxygen,167.0,""",0,0,0,1,0..."", filter out the waste carried through the blood and keep the blood clean"
168,168,The fire goes out when you pour water,168.0,"168, Remove impurities.,0,0,1,0 ,,,, filter out the waste that is transported through the blood to keep the blood clean"
169,169,The water quenched the fire,169.0,"169, filter out the waste, 0, 0, 1, 0... filter out the waste carried through the blood and keep the blood clean"
170,170,Water makes the fire go out.,170.0,"170, it is a kidney disease, 0, 0, 0, 0, 0... it filters out the waste that is transported through the blood and keeps the blood clean"
171,171,The water turned off the heat,171.0,"171, maintain proper body temperature and blood pressure, 0, 0, 0, 0, 0, 0... filter out the waste that is transported through the blood and keep the blood clean"
172,172,Because the iron was separated from the iron plate,172.0,"172, Strain waste to make urine. 1,0,0,1,0... Strain waste transported through the blood to keep the blood clean"
173,173,The water turned off the heat,173.0,"173, The kidney is a place to filter waste that goes to the bladder, and if there is a problem with the kidney, the nutrients needed for the body will also be drained from the waste that goes out through the bladder.,0,0,1,0 , , , , , , , , , , , , , , , , ,174, It is dangerous if there is an abnormality in filtering waste, 0, 0, 1, 0, etc., to filter waste transported through the blood to maintain clean blood"
174,174,It is because the water prevented the fire from spreading,174.0,"175, I don't know, 0, 0, 0, 0, 0, 0, 0... filter out the waste carried through the blood to maintain clean blood"
175,175,It is because the water keeps the fire from getting hot and the water makes the fire go out,175.0,"176, Filter the waste in the urine, 0, 0, 0, 1, 0... Filter the waste transported through the blood to maintain clean blood"
176,176,Because the water cooled down,176.0,"177, Maintain proper body temperature and blood pressure, 0, 0, 1, 0, 0... Filter waste from the body to maintain clean blood"
177,177,"Since it goes out in the water,",177.0,"178, I don't know, 0, 0, 0, 0, 0, 0, 0... filter out the waste from the body to maintain clean blood,"
178,178,The water put out the fire.,178.0,"179,The kidneys filter out the body's waste and reabsorb nutrients that have not been absorbed by the body, so when teeth fail, waste accumulates in the body and energy efficiency decreases, 0,0,0,1,1,,,, filter out the waste in the body to maintain clean blood"
179,179,"Water and fire have opposite properties, and when these two meet each other, they eventually do not catch fire and the fire is extinguished.",179.0,"180, I don't know, 0, 0, 0, 0, 0, 0, 0... Filter out the waste in your body to maintain clean blood"
180,180,Because carbon dioxide blocks oxygen,180.0,"181 Strain waste.,0,0,1,0 ,,,, filter out the waste from the body to maintain clean blood,"
181,181,This is because water lowers the high temperature of the fire and does not exceed the ignition point.,181.0,"182,""You take the elements out of the blood and make the urine"
182,182,Because water turns off the fire.,182.0,"This is because if there is an abnormality in the kidneys, there will be a problem with urine discharge."",1,0,0,1,0…, filter out the waste from the body to maintain clean blood,"
183,183,This is because fire can be lost by water.,183.0,"183, Since the kidneys filter out the wastes in our body, if the kidneys fail, they can be poisoned and dangerous.,0,0,0,0,0 ,,,, filter out the waste from the body to maintain clean blood,"
184,184,The iron cooled down and stopped working,184.0,"184, The function of the kidneys is to filter waste and absorb water, and if this function is lost, life will be uncomfortable, 0, 0, 0, 1, 1,,,, it filters out waste from the body to maintain clean blood"
185,185,"The air, which is one of the substances that can cause a fire to burn by water, has disappeared",185.0,"185 Strain waste and drain, 0, 0, 0, 1, 0... Strain waste from the body to keep the blood clean"
186,186,A liquid called water in a hot fire turns off because it heats up the fire.,186.0,"186, 0, 0, 0, 0, 0, 0, 0... filter out the waste from the body and keep the blood clean"
187,187,"Fire and water are normal (more water and less fire, so the lights go out)",187.0,"187,Increase of harmful toxins and break down every corner of the body, 0, 0, 0, 1, 0... Filter out the waste from the body and keep the blood clean"
188,188,This is because water lowers the temperature.,188.0,"This is because it affects plasma osmotic pressure as a target organ of 188, anti-diuretic hormones, and it is a representative excretory organ of our body that releases substances that are not good for the body out of the body.,0,1,1,1,0 , , , , filter out the waste in your body to keep your blood clean"
189,189,Because water evolved the fire,189.0,"189, unable to filter out the waste in the blood due to the filtration function, 0, 0, 0, 1, 1,,,, filter out the waste in the body to keep the blood clean,"
190,190,I sprayed water and lowered the temperature below the ignition point,190.0,"190,The kidneys filter waste from the body to produce urine, so if there is a problem with the kidney, waste accumulates in the body. 1,0,0,1,0... It filters waste from the body to keep the blood clean"
191,191,Because the fire is weak against water,191.0,"191, The kidney removes the urea toxin from our body, and if it doesn't play a role in the kidney, it dies. 0, 0, 0, 1, 0... It filters out the waste from the body and keeps the blood clean"
192,192,I'm weak with fire,192.0,"192, I don't know, 0, 0, 0, 0, 0, 0... It filters out the waste from the body and keeps the blood clean"
193,193,Water lowers the temperature dramatically,193.0,"193,""The kidney is an organ of the excretory system, and the nephron, which forms the kidney, is responsible for filtering waste through filtration, reabsorption, and secretion processes. However, if there is an abnormality in the kidney, such excretion activities cannot be carried out properly, resulting in abnormalities in the body."",0,0,0,1,1,,,, filter out the waste from your body and keep your blood clean,"
194,194,Because the fire goes out when you spray water.,194.0,"194,If you can't filter urine waste and absorb nutrients, the waste is also absorbed into the body and causes a disease.,0,0,1,1,,,, filter out the waste from the body and keep the blood clean,"
195,195,The water turned off the heat,195.0,"195,Filter function,0,0,0,1,,,, filter out the wastes in the body and keep the blood clean"
196,196,The fire is extinguished when the water touches it,196.0,"196,Because the kidneys excrete waste products in the blood and maintain water content and acidity in the body, various diseases occur when there are abnormalities in the kidneys. 0,0,1,1,0,,, It filters out waste products in the body to keep the blood clean"
197,197,?,197.0,"197,... 0, 0, 0, 0, 0, 0, 0... filter out the waste from your body to maintain clean blood"
198,198,"Fire is weak against water, because it is made when it is hot, and water lowers the hot temperature.",198.0,"198,I don't know.,0,0,0,0,0 , , , , filter out the wastes in the body to maintain clean blood ,"
199,199,Because the cold water covered the hot fire.,199.0,"199, organ trading, 0, 0, 0, 0, 0, 0, 0... filter out the wastes in the body to maintain clean blood"
200,200,"In order to catch fire, oxygen, objects to be burned, and heat are required because the heat cools when sprayed with water.",200.0,"200,""The kidneys are responsible for metabolizing waste matter and maintaining body balance along with surrounding ureter, bladder and urethra. These kidneys control blood pressure by maintaining the acid base balance as well as the main function of excreting waste, and by balancing water and electrolytes."" ,0,1,1,0 ,,,, it filters out the waste from the body to maintain clean blood"
201,201,"If you spray water on the fire, it will turn off",201.0,"201, Maintaining body volume, blood pressure control, 0, 0, 1, 0, 0, etc., filter out the waste in the blood to maintain clean blood"
